2016-06-09 16:25:26 [ol_normalize_data] [DEBUG]  [51/771] Reading in data and OL normalizing
2016-06-09 16:25:26 [ol_normalize_data] [DEBUG]  [51/771] Summing values
2016-06-09 16:25:26 [ol_normalize_data] [INFO ]  [52/771] Processing raster data/processed/features/udr/european_tetrapods/birds/apus_melba.tif
2016-06-09 16:25:26 [ol_normalize_data] [DEBUG]  [52/771] Reading in data and OL normalizing
2016-06-09 16:25:27 [ol_normalize_data] [DEBUG]  [52/771] Summing values
2016-06-09 16:25:27 [ol_normalize_data] [INFO ]  [53/771] Processing raster data/processed/features/udr/european_tetrapods/birds/apus_pallidus.tif
2016-06-09 16:25:27 [ol_normalize_data] [DEBUG]  [53/771] Reading in data and OL normalizing
2016-06-09 16:25:27 [ol_normalize_data] [DEBUG]  [53/771] Summing values
2016-06-09 16:25:27 [ol_normalize_data] [INFO ]  [54/771] Processing raster data/processed/features/udr/european_tetrapods/birds/aquila_adalberti.tif
2016-06-09 16:25:27 [ol_normalize_data] [DEBUG]  [54/771] Reading in data and OL normalizing
2016-06-09 16:25:28 [ol_normalize_data] [DEBUG]  [54/771] Summing values
2016-06-09 16:25:28 [ol_normalize_data] [INFO ]  [55/771] Processing raster data/processed/features/udr/european_tetrapods/birds/aquila_chrysaetos.tif
2016-06-09 16:25:28 [ol_normalize_data] [DEBUG]  [55/771] Reading in data and OL normalizing
2016-06-09 16:25:28 [ol_normalize_data] [DEBUG]  [55/771] Summing values
2016-06-09 16:25:28 [ol_normalize_data] [INFO ]  [56/771] Processing raster data/processed/features/udr/european_tetrapods/birds/aquila_clanga.tif
2016-06-09 16:25:28 [ol_normalize_data] [DEBUG]  [56/771] Reading in data and OL normalizing
2016-06-09 16:25:28 [ol_normalize_data] [DEBUG]  [56/771] Summing values
2016-06-09 16:25:28 [ol_normalize_data] [INFO ]  [57/771] Processing raster data/processed/features/udr/european_tetrapods/birds/aquila_heliaca.tif
2016-06-09 16:25:28 [ol_normalize_data] [DEBUG]  [57/771] Reading in data and OL normalizing
2016-06-09 16:25:29 [ol_normalize_data] [DEBUG]  [57/771] Summing values
2016-06-09 16:25:29 [ol_normalize_data] [INFO ]  [58/771] Processing raster data/processed/features/udr/european_tetrapods/birds/aquila_pomarina.tif
2016-06-09 16:25:29 [ol_normalize_data] [DEBUG]  [58/771] Reading in data and OL normalizing
2016-06-09 16:25:29 [ol_normalize_data] [DEBUG]  [58/771] Summing values
2016-06-09 16:25:29 [ol_normalize_data] [INFO ]  [59/771] Processing raster data/processed/features/udr/european_tetrapods/birds/ardea_cinerea.tif
